lib_mrq;lib_mod_doss;lib_mod;dscom;cnit;tvv;typ_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;date_maj;Carrosserie;gamme
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0006330;940FXB1A01C;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (105ch) MultiAir;M10ALFVP0007040;955AXL1B08;ES;non;6;77;M 6;7,5;4,7;5,7;134;0,192;0,049;0,04;;;1165;1165;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0007270;939DXQ1B60;GO;non;9;120;M 6;7,1;4,4;5,4;142;0,189;;0,155;0,18;0,002;1555;1555;715/2007*692/2008EURO5;;COUPE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 MPI T-jet (120ch) S/S;M10ALFVP0007295;940FXA1A00D;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0007331;940FXB1A01D;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (105ch) MultiAir;M10ALFVP0008041;955AXL1B08B;ES;non;6;77;M 6;7,5;4,7;5,7;134;0,192;0,049;0,04;;;1165;1165;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0008271;939DXQ1B60B;GO;non;9;120;M 6;7,1;4,4;5,4;142;0,189;;0,155;0,18;0,002;1555;1555;715/2007*692/2008EURO5;;COUPE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0008296;940FXB1A01C;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (105ch) S/S;M10ALFVP0008332;940FXN1A12;ES;non;6;77;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.6 JTDm (120ch) S/S;M10ALFVP0009175;955AXC1B02G;GO;non;6;88;M 6;5,3;3,8;4,4;114;0,389;;0,155;0,216;0,001;1280;1280;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0009297;940FXB1A01D;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (105ch) S/S;M10ALFVP0009333;940FXN1A12B;ES;non;6;77;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.6 JTDm (120ch) S/S;M10ALFVP000A176;955AXC1B02H;GO;non;6;88;M 6;5,3;3,8;4,4;114;0,389;;0,155;0,216;0,001;1280;1280;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (140ch) S/S;M10ALFVP000A298;940FXL1A08;GO;non;7;103;M 6;5,6;3,9;4,5;119;0,389;;0,161;0,214;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (105ch) S/S;M10ALFVP000A334;940FXN1A12C;ES;non;6;77;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 TB (170ch) MultiAir;M10ALFVP000B044;955AXN1B10;ES;non;9;125;M 6;8,1;4,8;6;139;0,254;0,02;0,024;;;1220;1220;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.6 JTDm (120ch) S/S;M10ALFVP000B177;955AXE1B04L;GO;non;6;85;M 6;5,3;3,8;4,4;114;0,389;;0,155;0,216;0,001;1280;1280;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (140ch) S/S;M10ALFVP000B299;940FXL1A08B;GO;non;7;103;M 6;5,6;3,9;4,5;119;0,389;;0,161;0,214;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (105ch) S/S;M10ALFVP000B335;940FXN1A12D;ES;non;6;77;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 TB (170ch) MultiAir;M10ALFVP000C045;955AXN1B10B;ES;non;9;125;M 6;8,1;4,8;6;139;0,254;0,02;0,024;;;1220;1220;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.6 JTDm (120ch) S/S;M10ALFVP000C178;955AXE1B04M;GO;non;6;85;M 6;5,3;3,8;4,4;114;0,389;;0,155;0,216;0,001;1280;1280;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.3 JTDm (85ch) S/S;M10ALFVP000C336;955AXT1A14C;GO;non;4;62;M 5;4,4;2,9;3,5;90;0,393;;0,167;0,194;0,001;1225;1225;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.3 JTDm (85ch) S/S;M10ALFVP000D337;955AXT1A14D;GO;non;4;62;M 5;4,4;2,9;3,5;90;0,393;;0,167;0,194;0,001;1225;1225;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;159;159;159 2.0 JTDm (136ch);M10ALFVP000E302;939AXR1B64;GO;non;7;100;M 6;6,6;4,2;5,1;134;0,066;;0,149;0,175;0,001;1565;1565;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (70ch);M10ALFVP000E338;955AXV1A16;ES;non;4;51;M 5;7,6;4,7;5,8;134;0,233;0,033;0,026;;;1155;1155;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.3 JTDm (95ch) S/S;M10ALFVP000F048;955AXP1A11C;GO;non;5;70;M 5;5,1;3,3;4;104;0,31;;0,169;0,194;0,002;1225;1225;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.4 TB MultiAir (135ch) Alfa TCT S/S;M10ALFVP000F181;955AXR1112;ES;non;7;99;M 6;7,1;4,5;5,5;126;0,255;0,021;0,024;;;1245;1245;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;159;159;159 2.0 JTDm (136ch);M10ALFVP000F303;939AXR1B64B;GO;non;7;100;M 6;6,6;4,2;5,1;134;0,066;;0,149;0,175;0,001;1565;1565;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (70ch);M10ALFVP000F339;955AXV1A16B;ES;non;4;51;M 5;7,6;4,7;5,8;134;0,233;0,033;0,026;;;1155;1155;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.3 JTDm (95ch) S/S;M10ALFVP000G049;955AXP1A11D;GO;non;5;70;M 5;5,1;3,3;4;104;0,31;;0,169;0,194;0,002;1225;1225;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.4 TB MultiAir (135ch) Alfa TCT S/S;M10ALFVP000G182;955AXR1112B;ES;non;7;99;M 6;7,1;4,5;5,5;126;0,255;0,021;0,024;;;1245;1245;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;159;159;159 2.0 JTDm (170ch);M10ALFVP000G304;939AXS1B66;GO;non;9;125;M 6;6,9;4,3;5,3;139;0,06;;0,164;0,193;0,001;1565;1565;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;159;159;159 1750 Tbi (200ch);M10ALFVP000G340;939AXN1B52C;ES;non;12;147;M 6;11,3;5,8;7,8;182;0,647;0,052;0,032;;0,002;1505;1505;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;159;159;159 2.0 JTDm (170ch);M10ALFVP000H305;939AXS1B66B;GO;non;9;125;M 6;6,9;4,3;5,3;139;0,06;;0,164;0,193;0,001;1565;1565;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;159;159;159 1750 Tbi (200ch);M10ALFVP000H341;939BXN1B53C;ES;non;12;147;M 6;11,5;6;8;186;0,647;0,052;0,032;;0,002;1555;1555;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
ALFA-ROMEO;SPIDER;SPIDER;SPIDER 1750 TBI (200ch);M10ALFVP000J281;939EXN1B57;ES;non;12;147;M 6;11,9;6,1;8,2;192;0,601;0,06;0,04;;0,003;1565;1565;715/2007*692/2008EURO5;;CABRIOLET;SUPERIEURE
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (136ch);M10ALFVP000J306;939BXR1B65;GO;non;7;100;M 6;6,8;4,3;5,2;137;0,066;;0,149;0,175;0,001;1615;1615;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (136ch);M10ALFVP000J307;939BXR1B65B;GO;non;7;100;M 6;6,8;4,3;5,2;137;0,066;;0,149;0,175;0,001;1615;1615;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.6 JTDm (105ch) S/S;M10ALFVP000J342;940FXD1A03;GO;non;5;77;M 6;5,5;3,7;4,4;114;0,215;;0,173;0,207;0,001;1385;1385;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (170ch) S/S;M10ALFVP000J343;940FXE1A04;GO;non;9;125;M 6;5,8;4,1;4,7;124;0,152;;0,158;0,201;0,002;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;SPIDER;SPIDER;SPIDER 2.0 JTDm (170ch);M10ALFVP000K283;939EXP1B59;GO;non;9;125;M 6;7,1;4,4;5,4;142;0,189;;0,155;0,18;0,002;1615;1615;715/2007*692/2008EURO5;;CABRIOLET;SUPERIEURE
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (170ch);M10ALFVP000K308;939BXS1B67;GO;non;9;125;M 6;7,1;4,4;5,4;142;0,06;;0,164;0,193;0,001;1615;1615;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1750 Tbi (235ch) Quadrifoglio Verde;M10ALFVP000K344;940FXC1A02;ES;non;14;172;M 6;10,8;5,8;7,6;177;0,375;0,049;0,022;;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (170ch);M10ALFVP000L309;939BXS1B67B;GO;non;9;125;M 6;7,1;4,4;5,4;142;0,06;;0,164;0,193;0,001;1615;1615;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.6 JTDm (105ch) S/S;M10ALFVP000L345;940FXD1A03B;GO;non;5;77;M 6;5,5;3,7;4,4;114;0,215;;0,173;0,207;0,001;1385;1385;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;SPIDER;SPIDER;SPIDER 2.0 JTDm (170ch);M10ALFVP000M285;939EXQ1B61;GO;non;9;120;M 6;7,1;4,4;5,4;142;0,189;;0,155;0,18;0,002;1615;1615;715/2007*692/2008EURO5;;CABRIOLET;SUPERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.3 JTDm (85ch) S/S;M10ALFVP000M310;955AXT1A14;GO;non;4;62;M 5;4,6;3;3,6;95;0,315;;0,164;0,189;0,001;1225;1225;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (170ch) S/S;M10ALFVP000M346;940FXE1A04B;GO;non;9;125;M 6;5,8;4,1;4,7;124;0,152;;0,158;0,201;0,002;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.3 JTDm (85ch) S/S;M10ALFVP000N311;955AXT1A14B;GO;non;4;62;M 5;4,6;3;3,6;95;0,315;;0,164;0,189;0,001;1225;1225;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (170ch) S/S;M10ALFVP000N347;940FXH1A07;GO;non;9;120;M 6;5,8;4,1;4,7;124;0,152;;0,158;0,201;0,002;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (78ch) S/S;M10ALFVP000P312;955AXU1A15;ES;non;5;57;M 5;7,3;4,6;5,6;130;0,337;0,048;0,037;;;1155;1155;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (78ch) S/S;M10ALFVP000P313;955AXU1A15B;ES;non;5;57;M 5;7,3;4,6;5,6;130;0,337;0,048;0,037;;;1155;1155;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (170ch) S/S;M10ALFVP000P348;940FXH1A07B;GO;non;9;120;M 6;5,8;4,1;4,7;124;0,152;;0,158;0,201;0,002;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (140ch) S/S;M10ALFVP000P349;940FXL1A08;GO;non;7;103;M 6;5,6;3,9;4,5;119;0,389;;0,161;0,214;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S;M10ALFVP000R314;940FXB1110;ES;non;9;125;D 6;6,7;4,3;5,2;121;0,44;0,037;0,03;;;1380;1380;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S;M10ALFVP000R315;940FXB1110B;ES;non;9;125;D 6;6,7;4,3;5,2;121;0,44;0,037;0,03;;;1380;1380;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (140ch) S/S;M10ALFVP000R350;940FXL1A08B;GO;non;7;103;M 6;5,6;3,9;4,5;119;0,389;;0,161;0,214;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (140ch) S/S;M10ALFVP000R351;940FXM1A09;GO;non;7;100;M 6;5,6;3,9;4,5;119;0,389;;0,161;0,214;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (170ch) ECO;M10ALFVP000S255;939BXP1B55C;GO;non;9;125;M 6;6,7;4,4;5,2;139;0,192;;0,169;0,19;0,003;1615;1615;715/2007*692/2008EURO5;;BREAK;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S;M10ALFVP000S316;940FXB1110C;ES;non;9;125;D 6;6,7;4,3;5,2;121;0,44;0,037;0,03;;;1380;1380;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (140ch) S/S;M10ALFVP000S352;940FXM1A09B;GO;non;7;100;M 6;5,6;3,9;4,5;119;0,389;;0,161;0,214;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S;M10ALFVP000T317;940FXB1110D;ES;non;9;125;D 6;6,7;4,3;5,2;121;0,44;0,037;0,03;;;1380;1380;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S;M10ALFVP000T353;940FXG1113;ES;non;8;120;D 6;6,7;4,3;5,2;121;0,44;0,037;0,03;;;1380;1380;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;159;159;159 2.0 JTDm (170ch) ECO;M10ALFVP000U221;939AXP1B54C;GO;non;9;125;M 6;6,6;4,3;5,1;136;0,192;;0,169;0,19;0,003;1565;1565;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm TCT (170ch) S/S;M10ALFVP000U318;940FXE1111;GO;non;9;125;D 6;5,3;4;4,5;119;0,182;;0,16;0,186;0,001;1410;1410;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S;M10ALFVP000U354;940FXG1113B;ES;non;8;120;D 6;6,7;4,3;5,2;121;0,44;0,037;0,03;;;1380;1380;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm TCT (170ch) S/S;M10ALFVP000V319;940FXE1111B;GO;non;9;125;D 6;5,3;4;4,5;119;0,182;;0,16;0,186;0,001;1410;1410;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm TCT (170ch) S/S;M10ALFVP000V355;940FXH1114;GO;non;8;120;D 6;5,3;4;4,5;119;0,182;;0,16;0,186;0,001;1410;1410;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP000W320;940FXA1A00;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm TCT (170ch) S/S;M10ALFVP000W356;940FXH1114B;GO;non;8;120;D 6;5,3;4;4,5;119;0,182;;0,16;0,186;0,001;1410;1410;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP000X321;940FXB1A01;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP000Y322;940FXA1A00B;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP000Z323;940FXB1A01B;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 0.9 Twin Air (85ch) S/S;M10ALFVP000Z359;955AXW1B17;ES;non;4;62;M 6;4,9;3,8;4,2;98;0,528;0,049;0,037;;;1205;1205;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
